Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
151707,56821,15205,196123,76666,13990,23659,751509,342571,0,0,10,College Vegetarian Cookbook Quick PlantBased Recipes Every College 
105983,499956,0,0,0,0,0,0,0,0,0,3,Southern Salads Sides Soups Southern Favorites Southern Cooking 
1935806,709962,7863,34162,1490834,106024,904,2930,671769,1210132,1758455,19,Pasta Salad The Ultimate Guide 
795364,61163,1152536,0,0,0,0,0,0,0,0,4,Filling Salads Healthy Weight Loss Delicious Salads Help 
175625,2127677,0,0,0,0,0,0,0,0,0,3,Top Most Delicious Homemade Salad Dressing Recipes A 
887307,31568,0,6748,17279,39471,37210,743,2930,300097,14713,201,Keto Meal Prep Cookbook For Beginners Easy Simple 
78124,123809,36618,83672,54631,175536,0,0,0,0,0,7,Vegetarian Keto Diet Beginners TOP Amazing Simple Recipes 
559726,27997,486418,191913,52845,595159,145964,1023536,250303,836791,523,17,Gastric Sleeve Bariatric Surgery Cookbook The Complete Guide 
5126646,61163,2593619,2788256,456930,666797,81506,90170,56369,4553502,0,11,Nutribullet Recipe Book Smoothie Recipes WeightLoss Detox AntiAging 
358316,3791991,78266,48005,0,0,0,0,0,0,0,5,The Dinner Salad Cookbook Easy Satisfying Recipes That 
278677,383954,87836,108561,380352,36314,78124,856828,210515,511,642783,19,PlantBased Diet The Essential Cookbook Beginners Healthy Recipes 
603725,0,0,0,0,0,0,0,0,0,0,2,Love Vegan The Ultimate Asian Cookbook Easy Plant 
5795,20006,6801,469616,15941,2055,56230,324779,16389,44813,63607,191,Keto Instant Pot Recipes Cookbook The Easy Electric 
153942,0,0,0,0,0,0,0,0,0,0,2,Fresh India Quick Easy Delicious Vegetarian Recipes Every 
175625,264040,0,0,0,0,0,0,0,0,0,3,Simply Salads More Creative Recipes You Can Make 
8678,7767,107344,121084,39206,236791,308764,11134,226790,308764,23462,22,DASH Diet Dummies Easy Recipes Day Diet Meal 
5795,74589,342571,0,0,0,0,0,0,0,0,4,PlantBased Diet Meal Prep Reasons Choose PlantBased Diet 
1308731,8678,197235,21355,4882220,88936,1172,25804,11905,8155,2930,436,Days Salad Recipes A Salad Cookbook Over Salad 
48005,4882220,764465,1050253,1620273,2610500,1728476,2366091,1731923,0,0,10,Delicious Salads Dressings And Dips Healthy Salad Recipes 
1787677,983157,449915,48005,1476573,1728073,98441,12199,4882220,301061,175625,204,Homemade Salad Dressing Recipes A Salad Dressings Cookbook 
48005,512304,0,0,0,0,0,0,0,0,0,3,Mediterranean Salad Cookbook Incredibly Delicious Salad Recipes Natural 
48005,0,0,0,0,0,0,0,0,0,0,2,Food Mighty Salads New Ways Turn Salad Dinner 
12199,0,0,0,0,0,0,0,0,0,0,2,Simple Salad Cookbook Recipes That Can Be Made 
209120,852242,1342900,73460,4882220,48005,512304,706265,289164,66742,12199,21,The Mediterranean Salad Cookbook Salads Salad Dressings Healthy 
6095,33503,11945,6555,684,10146,15877,21857,7056,14835,34187,58,PlantBased Diet Cookbook Beginners Day Meal Plan Energize 
146419,258023,47481,665893,155834,163460,733447,75954,315149,5795,501573,28,FAST EASY VEGETARIAN MEAL PREP Weekly Plans Recipes 
902630,246515,18909,283847,300518,54631,508817,789381,1160604,308187,18972,35,Vegan Cookbook Delicious Vegan Glutenfree Breakfast Lunch Dinner 
684,117048,449460,102261,36314,265323,88004,225889,1263420,39328,228253,39,Keto Vegetarian Cookbook Easy Delicious LowCarb Vegetarian Recipes 
78266,15185,867443,39659,110306,1082839,197136,153947,0,0,0,9,Vegan Athlete Cookbook HighProtein Delicious Recipes Your Workouts 
33675,590713,499956,12028,263834,232688,172018,23659,648255,0,626811,672,Corn Cookbook 
314467,134735,394811,0,0,0,0,0,0,0,0,4,The Happy Pear Recipes Happiness Delicious Easy Vegetarian 
5922,2593822,102454,193523,165861,515315,1128007,1886897,1872297,7230,0,11,The Quick Easy Spiralizer Cookbook Vegetable Noodle Recipes 
129198,1011621,127018,10398,1128038,234093,732238,8678,104634,546747,76076,29,The Alkaline Diet Ultimate Guide Beginners Healthy Recipes 
78160,0,0,0,0,0,0,0,0,0,0,2,Unauthorized Copycat Panera Bread Salads Dressings Current Classics 
89258,1199848,879795,2536807,58410,15782,3186098,121084,0,0,0,9,Green Salads Quick Easy Gluten Free Low Cholesterol 
824545,505863,333372,0,15185,15205,15205,186967,867443,76666,8127,423,Plant Based Cookbook Plant Based Cookbook Beginners Weeks 
44096,39328,342571,64835,14518,119431,25804,356131,78266,77553,434817,52,Superfood Cookbook Delicious Vegetarian Superfood Salads Easy Weight 
236228,283847,0,0,0,0,0,0,0,0,0,3,Vegan Mediterranean Cookbook Incredibly Delicious Vegan Salad Soup 
827253,608619,0,0,0,0,0,0,0,0,0,4,Eat Thrive The AntiDiet Cookbook 
44813,0,0,0,0,0,0,0,0,0,0,2,Easy Coleslaw Cookbook Delicious Coleslaw Recipes nd Edition 
22289,0,0,0,0,0,0,0,0,0,0,2,The Mason Jar Cookbook Healthy Portable Meals breakfast 
665893,360158,399987,42982,510106,638960,78124,146911,15639,0,0,10,Plant Based Meal Prep Healthy PlantBased Recipes Cleanse 
300283,187419,75954,511,118920,47481,334267,36314,13238,126677,1155291,22,THE PLANTBASED DIET COOKBOOK FOR BEGINNERS An Inspiring 
342571,0,0,0,0,0,0,0,0,0,0,2,Super Easy Vegetarian Keto Cookbook The proven way 
736787,0,0,0,0,0,0,0,0,0,0,2,Mason Jar Meals Cookbook Exquisite Jar Meals Recipes 
673470,0,0,0,0,0,0,0,0,0,0,2,Salad President A Cookbook Inspired Artists 
